scenario,sample_size_per_group,mean_delta_cramers_v_broad_minus_active,mean_mcse_delta_cramers_v_broad_minus_active
null_same_mixture,50,-0.0002962057061645423,0.0009524429228955531
null_same_mixture,100,-1.3539786701873772e-05,0.0006760056875591599
null_same_mixture,250,0.0003627178353278049,0.00043104997614340474
null_same_mixture,500,-9.27700691484592e-05,0.00030411817364589224
aligned_gradient,50,0.20171331235071618,0.001082311474993793
aligned_gradient,100,0.20463328617319218,0.0007581831295635484
aligned_gradient,250,0.20662873876156176,0.00047685398170901953
aligned_gradient,500,0.2065218508390341,0.0003407048602907162
project_only_gradient,50,0.23654803531150492,0.0014127801637860528
project_only_gradient,100,0.2619108205547778,0.000999047209056904
project_only_gradient,250,0.2844402180382368,0.0006399272007485825
project_only_gradient,500,0.29618659861133495,0.00046535989269872146
compensating_gradient,50,-0.19290631229331484,0.001351906704675324
compensating_gradient,100,-0.2168754541339892,0.0009862561779713235
compensating_gradient,250,-0.23819033799484118,0.0006397179788537161
compensating_gradient,500,-0.25201201159682973,0.0004433786707107216
rank_reversal,50,-0.06814904482072139,0.0019684597220706794
rank_reversal,100,-0.07594700262914261,0.0014716654427193608
rank_reversal,250,-0.07532111140317625,0.0009409857877576399
rank_reversal,500,-0.07589913189999738,0.0006720344538651905
mixed_order,50,-0.11252950035377153,0.0016862969879966252
mixed_order,100,-0.12634226237912358,0.0012909283610849738
mixed_order,250,-0.13421405590899999,0.0008464316041932299
mixed_order,500,-0.13637644201345636,0.0006188371482527124
