scenario,sample_size_per_group,probability_any_cross_definition_strict_reversal,mcse_any_cross_definition_strict_reversal
null_same_mixture,50,0.47325,0.007894372006372642
null_same_mixture,100,0.492,0.007904682156797956
null_same_mixture,250,0.562,0.007844679725775934
null_same_mixture,500,0.5635,0.007841679507605498
aligned_gradient,50,0.051,0.00347846949102619
aligned_gradient,100,0.00875,0.0014725350165615758
aligned_gradient,250,0.0,0.0
aligned_gradient,500,0.0,0.0
project_only_gradient,50,0.76625,0.006691616723557918
project_only_gradient,100,0.7895,0.006445730175860607
project_only_gradient,250,0.80075,0.006315644019021339
project_only_gradient,500,0.81125,0.006187152768034744
compensating_gradient,50,0.76475,0.006706478910352287
compensating_gradient,100,0.8035,0.006282669615696818
compensating_gradient,250,0.81,0.0062028219384405985
compensating_gradient,500,0.82275,0.006038055098705212
rank_reversal,50,0.999,0.0004997499374687306
rank_reversal,100,1.0,0.0
rank_reversal,250,1.0,0.0
rank_reversal,500,1.0,0.0
mixed_order,50,0.86625,0.00538193593189291
mixed_order,100,0.927,0.004113119254288647
mixed_order,250,0.9865,0.0018246746285296973
mixed_order,500,0.9995,0.00035346499119429955
