scenario,observation_profile,mean_active_association_observation_error,mean_broad_association_observation_error
null_same_mixture,none__none,0.0,0.0
null_same_mixture,none__state_independent_10,0.0023568848871489095,0.0022661772264692807
null_same_mixture,none__project_heavy,0.0017115267794272887,0.0016380746126468332
null_same_mixture,active_project_swap_10__none,-0.0004190021066933825,0.0
null_same_mixture,active_project_swap_10__state_independent_10,0.002505010464731555,0.002436666487612481
null_same_mixture,active_project_swap_10__project_heavy,0.0022059470468507154,0.0016897483370994163
null_same_mixture,project_other_swap_10__none,0.0,-6.10825032304931e-05
null_same_mixture,project_other_swap_10__state_independent_10,0.0024023021594674547,0.001960954607729709
null_same_mixture,project_other_swap_10__project_heavy,0.001624098951934663,0.001229455673527005
aligned_gradient,none__none,0.0,0.0
aligned_gradient,none__state_independent_10,0.00035049564765360515,0.00018677725650633495
aligned_gradient,none__project_heavy,0.013077954034197588,0.00013155762114220953
aligned_gradient,active_project_swap_10__none,0.00011538047209425567,0.0
aligned_gradient,active_project_swap_10__state_independent_10,0.0005699023755078296,3.5041546481028404e-05
aligned_gradient,active_project_swap_10__project_heavy,0.010032865072685854,-0.00019945704672569165
aligned_gradient,project_other_swap_10__none,0.0,-0.07274641702286033
aligned_gradient,project_other_swap_10__state_independent_10,0.0003480205601117865,-0.07290763147814223
aligned_gradient,project_other_swap_10__project_heavy,0.013150005206352464,-0.07254096763230493
project_only_gradient,none__none,0.0,0.0
project_only_gradient,none__state_independent_10,0.0026188027764286414,0.0003537346833818135
project_only_gradient,none__project_heavy,0.002384601661278131,-0.009479908847982763
project_only_gradient,active_project_swap_10__none,0.013297514385491234,0.0
project_only_gradient,active_project_swap_10__state_independent_10,0.0142551689259428,0.0001519239685394572
project_only_gradient,active_project_swap_10__project_heavy,0.017331012489507237,-0.009522244168985476
project_only_gradient,project_other_swap_10__none,0.0,-0.06535319313642379
project_only_gradient,project_other_swap_10__state_independent_10,0.0022073391594749797,-0.065709047528934
project_only_gradient,project_other_swap_10__project_heavy,0.00239953419063864,-0.0738795069607791
compensating_gradient,none__none,0.0,0.0
compensating_gradient,none__state_independent_10,0.0003684276364612577,0.002260694857193118
compensating_gradient,none__project_heavy,-0.002293540483628852,0.0033129482433138357
compensating_gradient,active_project_swap_10__none,-0.055772941019732056,0.0
compensating_gradient,active_project_swap_10__state_independent_10,-0.05546900757147584,0.0023657419631238985
compensating_gradient,active_project_swap_10__project_heavy,-0.05578866704184506,0.0032195772570924944
compensating_gradient,project_other_swap_10__none,0.0,0.005040245055946476
compensating_gradient,project_other_swap_10__state_independent_10,0.00025202187893312236,0.00775893582502766
compensating_gradient,project_other_swap_10__project_heavy,-0.00243424083876986,0.011315147165783968
rank_reversal,none__none,0.0,0.0
rank_reversal,none__state_independent_10,0.0005089212911408613,0.00016805826011832828
rank_reversal,none__project_heavy,-0.007423910527216951,-0.014377142373715941
rank_reversal,active_project_swap_10__none,-0.08106794449283601,0.0
rank_reversal,active_project_swap_10__state_independent_10,-0.0802656755408661,0.0002548512059432313
rank_reversal,active_project_swap_10__project_heavy,-0.08437677300769725,-0.014182870032285631
rank_reversal,project_other_swap_10__none,0.0,-0.06382876066885684
rank_reversal,project_other_swap_10__state_independent_10,-4.5810003255016784e-05,-0.0636574994849229
rank_reversal,project_other_swap_10__project_heavy,-0.007532404340776106,-0.0749182812984577
mixed_order,none__none,0.0,0.0
mixed_order,none__state_independent_10,0.00016591963045712799,0.0008109832946024981
mixed_order,none__project_heavy,-0.003847990742145599,-0.002202830904597403
mixed_order,active_project_swap_10__none,-0.04542979975933987,0.0
mixed_order,active_project_swap_10__state_independent_10,-0.045444562312528566,0.0005064133059984026
mixed_order,active_project_swap_10__project_heavy,-0.046302324527698765,-0.0024336079449689555
mixed_order,project_other_swap_10__none,0.0,-0.016940891386383057
mixed_order,project_other_swap_10__state_independent_10,0.00017980150172777632,-0.014831695546733787
mixed_order,project_other_swap_10__project_heavy,-0.003568154846767638,-0.015878246975826345
