scenario,misclassification_profile,missingness_profile,mean_delta_cramers_v,probability_broad_association_stronger,probability_any_strict_reversal,mean_active_level_observation_error,mean_broad_level_observation_error,mean_active_association_observation_error,mean_broad_association_observation_error,undefined_association_fraction
null_same_mixture,none,none,0.0003627178353278049,0.4985,0.562,0.0,0.0,0.0,0.0,0.0
null_same_mixture,none,state_independent_10,0.0002489528558376757,0.503,0.62425,-1.141524176785963e-05,-0.00011744148528329841,0.0023568848871489095,0.0022661772264692807,0.0
null_same_mixture,none,project_heavy,-0.0008650360881030595,0.48,0.58425,0.004346145052078976,-0.013009229530534992,0.0017115267794272887,0.0016380746126468332,0.0
null_same_mixture,active_project_swap_10,none,0.00031870439717948673,0.51025,0.54425,0.00018599999999999978,0.0,-0.0004190021066933825,0.0,0.0
null_same_mixture,active_project_swap_10,state_independent_10,-0.0001602862692132965,0.49825,0.60725,-7.684921205187464e-05,-0.00024464196661974066,0.002505010464731555,0.002436666487612481,0.0
null_same_mixture,active_project_swap_10,project_heavy,-0.0005091953231212695,0.496,0.60375,0.002331257726917873,-0.012998968330807414,0.0022059470468507154,0.0016897483370994163,0.0
null_same_mixture,project_other_swap_10,none,0.0004953405171587001,0.511,0.577,0.0,0.040331000000000006,0.0,-6.10825032304931e-05,0.0
null_same_mixture,project_other_swap_10,state_independent_10,-0.000635674367114501,0.4865,0.62725,7.454141711285755e-05,0.04020041424136578,0.0024023021594674547,0.001960954607729709,0.0
null_same_mixture,project_other_swap_10,project_heavy,-0.0006389715606319799,0.4885,0.62175,0.004269152401395436,0.030175679949041644,0.001624098951934663,0.001229455673527005,0.0
aligned_gradient,none,none,0.20662873876156176,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aligned_gradient,none,state_independent_10,0.20560552280559488,1.0,0.00025,1.2765791341502324e-06,-6.551587468000087e-05,0.00035049564765360515,0.00018677725650633495,0.0
aligned_gradient,none,project_heavy,0.19311445841399463,1.0,0.0,0.006746625019223993,-0.013476602354623519,0.013077954034197588,0.00013155762114220953,0.0
aligned_gradient,active_project_swap_10,none,0.20578235432759753,1.0,0.0,-1.5265566588595902e-19,0.0,0.00011538047209425567,0.0,0.0
aligned_gradient,active_project_swap_10,state_independent_10,0.20626953950643742,1.0,0.0,-3.710277439159104e-05,-1.378353368010274e-06,0.0005699023755078296,3.5041546481028404e-05,0.0
aligned_gradient,active_project_swap_10,project_heavy,0.1956773065210033,1.0,0.00025,0.003879739388409595,-0.013428480087053909,0.010032865072685854,-0.00019945704672569165,0.0
aligned_gradient,project_other_swap_10,none,0.13305452584011446,1.0,0.0,0.0,0.02498433333333333,0.0,-0.07274641702286033,0.0
aligned_gradient,project_other_swap_10,state_independent_10,0.1329451413456943,0.99975,0.0,5.719475703857898e-05,0.024957966446488046,0.0003480205601117865,-0.07290763147814223,0.0
aligned_gradient,project_other_swap_10,project_heavy,0.12061949984083759,1.0,0.0,0.006770455680391802,0.014955590725471278,0.013150005206352464,-0.07254096763230493,0.0
project_only_gradient,none,none,0.2844402180382368,1.0,0.80075,0.0,0.0,0.0,0.0,0.0
project_only_gradient,none,state_independent_10,0.28175958399374146,1.0,0.83425,-5.9599401850181186e-05,-0.0002136578852657014,0.0026188027764286414,0.0003537346833818135,0.0
project_only_gradient,none,project_heavy,0.27246023494301336,1.0,0.79075,0.005336747874751063,-0.014850598381136927,0.002384601661278131,-0.009479908847982763,0.0
project_only_gradient,active_project_swap_10,none,0.27168404978610744,1.0,0.50275,0.0050026666666666665,0.0,0.013297514385491234,0.0,0.0
project_only_gradient,active_project_swap_10,state_independent_10,0.2694438726474984,1.0,0.56625,0.004981250977918494,5.8766752093209155e-05,0.0142551689259428,0.0001519239685394572,0.0
project_only_gradient,active_project_swap_10,project_heavy,0.25647193217154174,1.0,0.51275,0.00777172818571621,-0.014815127516554292,0.017331012489507237,-0.009522244168985476,0.0
project_only_gradient,project_other_swap_10,none,0.21878861025904156,1.0,0.81825,0.0,0.030143999999999997,0.0,-0.06535319313642379,0.0
project_only_gradient,project_other_swap_10,state_independent_10,0.21623371868857771,1.0,0.83975,2.7326343599037425e-05,0.029773487465895757,0.0022073391594749797,-0.065709047528934,0.0
project_only_gradient,project_other_swap_10,project_heavy,0.208213841999613,1.0,0.77925,0.005389856845659749,0.018847144497888553,0.00239953419063864,-0.0738795069607791,0.0
compensating_gradient,none,none,-0.23819033799484118,0.0,0.81,0.0,0.0,0.0,0.0,0.0
compensating_gradient,none,state_independent_10,-0.23824345867258345,0.0,0.8395,0.00010664957022795337,0.00017445620584714312,0.0003684276364612577,0.002260694857193118,0.0
compensating_gradient,none,project_heavy,-0.232973254464456,0.0,0.75775,0.006777769339026355,-0.013545422048706991,-0.002293540483628852,0.0033129482433138357,0.0
compensating_gradient,active_project_swap_10,none,-0.18398904781069939,0.0,0.80725,4.3333333333334525e-06,0.0,-0.055772941019732056,0.0,0.0
compensating_gradient,active_project_swap_10,state_independent_10,-0.1813477934773835,0.00025,0.82725,0.00018207615615347284,9.966407930538628e-06,-0.05546900757147584,0.0023657419631238985,0.0
compensating_gradient,active_project_swap_10,project_heavy,-0.18013113899330524,0.0,0.749,0.004085613548300408,-0.013499265029990187,-0.05578866704184506,0.0032195772570924944,0.0
compensating_gradient,project_other_swap_10,none,-0.23420481170267005,0.0,0.64025,0.0,0.024808666666666666,0.0,0.005040245055946476,0.0
compensating_gradient,project_other_swap_10,state_independent_10,-0.2327550422165337,0.0,0.6705,-0.00010542916163467511,0.02512321996092937,0.00025202187893312236,0.00775893582502766,0.0
compensating_gradient,project_other_swap_10,project_heavy,-0.2260815282329108,0.0,0.59175,0.00678564119881972,0.014912141495913278,-0.00243424083876986,0.011315147165783968,0.0
rank_reversal,none,none,-0.07532111140317625,0.10425,1.0,0.0,0.0,0.0,0.0,0.0
rank_reversal,none,state_independent_10,-0.0759142396367871,0.11475,1.0,0.0001357147730316836,0.00014690008649251068,0.0005089212911408613,0.00016805826011832828,0.0
rank_reversal,none,project_heavy,-0.0809943852096981,0.09075,1.0,0.008615300844021616,-0.014843885677182858,-0.007423910527216951,-0.014377142373715941,0.0
rank_reversal,active_project_swap_10,none,0.006357388898498581,0.54125,1.0,0.006867333333333333,0.0,-0.08106794449283601,0.0,0.0
