scenario,sample_size_per_group,population_delta_cramers_v,mean_observed_delta_cramers_v,mcse_mean_observed_delta_cramers_v,probability_broad_association_stronger,probability_any_order_disagreement,probability_any_strict_reversal,mcse_any_strict_reversal
null_same_mixture,50,0.0,-0.0002962057061645423,0.0009524429228955531,0.49225,0.723,0.47325,0.007894372006372642
null_same_mixture,100,0.0,-1.3539786701873772e-05,0.0006760056875591599,0.50225,0.69175,0.492,0.007904682156797956
null_same_mixture,250,0.0,0.0003627178353278049,0.00043104997614340474,0.4985,0.6845,0.562,0.007844679725775934
null_same_mixture,500,0.0,-9.27700691484592e-05,0.00030411817364589224,0.48725,0.65825,0.5635,0.007841679507605498
aligned_gradient,50,0.20705523608201654,0.20171331235071618,0.001082311474993793,0.99775,0.08825,0.051,0.00347846949102619
aligned_gradient,100,0.20705523608201654,0.20463328617319218,0.0007581831295635484,0.99975,0.0155,0.00875,0.0014725350165615758
aligned_gradient,250,0.20705523608201654,0.20662873876156176,0.00047685398170901953,1.0,0.0,0.0,0.0
aligned_gradient,500,0.20705523608201654,0.2065218508390341,0.0003407048602907162,1.0,0.0,0.0,0.0
project_only_gradient,50,0.3282439759448873,0.23654803531150492,0.0014127801637860528,0.98925,0.875,0.76625,0.006691616723557918
project_only_gradient,100,0.3282439759448873,0.2619108205547778,0.000999047209056904,0.99975,0.8615,0.7895,0.006445730175860607
project_only_gradient,250,0.3282439759448873,0.2844402180382368,0.0006399272007485825,1.0,0.848,0.80075,0.006315644019021339
project_only_gradient,500,0.3282439759448873,0.29618659861133495,0.00046535989269872146,1.0,0.847,0.81125,0.006187152768034744
compensating_gradient,50,-0.282842712474619,-0.19290631229331484,0.001351906704675324,0.02425,0.8595,0.76475,0.006706478910352287
compensating_gradient,100,-0.282842712474619,-0.2168754541339892,0.0009862561779713235,0.002,0.8585,0.8035,0.006282669615696818
compensating_gradient,250,-0.282842712474619,-0.23819033799484118,0.0006397179788537161,0.0,0.8465,0.81,0.0062028219384405985
compensating_gradient,500,-0.282842712474619,-0.25201201159682973,0.0004433786707107216,0.0,0.8445,0.82275,0.006038055098705212
rank_reversal,50,-0.07551103293826233,-0.06814904482072139,0.0019684597220706794,0.29075,0.9995,0.999,0.0004997499374687306
rank_reversal,100,-0.07551103293826233,-0.07594700262914261,0.0014716654427193608,0.207,1.0,1.0,0.0
rank_reversal,250,-0.07551103293826233,-0.07532111140317625,0.0009409857877576399,0.10425,1.0,1.0,0.0
rank_reversal,500,-0.07551103293826233,-0.07589913189999738,0.0006720344538651905,0.0375,1.0,1.0,0.0
mixed_order,50,-0.13799676819383055,-0.11252950035377153,0.0016862969879966252,0.1575,0.93025,0.86625,0.00538193593189291
mixed_order,100,-0.13799676819383055,-0.12634226237912358,0.0012909283610849738,0.068,0.9515,0.927,0.004113119254288647
mixed_order,250,-0.13799676819383055,-0.13421405590899999,0.0008464316041932299,0.006,0.991,0.9865,0.0018246746285296973
mixed_order,500,-0.13799676819383055,-0.13637644201345636,0.0006188371482527124,0.00025,0.9995,0.9995,0.00035346499119429955
